// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   4:00:49 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80856 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-84.5002
1.29	-96.7131
1.28	-99.9469
1.27	-99.5084
1.26	-97.2341
1.25	-94.0478
1.24	-90.2927
1.23	-86.1348
1.22	-81.823
1.21	-77.381
1.2	-72.9033
1.19	-68.4019
1.18	-63.8176
1.17	-59.4109
1.16	-54.9689
1.15	-50.6334
1.14	-46.3335
1.13	-42.1875
1.12	-38.1364
1.11	-34.2035
1.1	-30.3655
1.09	-26.7052
1.08	-23.2107
1.07	-19.7875
1.06	-16.6009
1.05	-13.604
1.04	-10.7728
1.03	-8.09562
1.02	-5.59627
1.01	-3.33382
1	-1.21331
0.99	0.764758
0.98	2.50617
0.97	4.04604
0.96	5.50307
0.95	6.75881
0.94	7.87236
0.93	8.87932
0.92	9.8032
0.91	10.5967
0.9	11.3077
0.89	11.9591
0.88	12.516
0.87	13.0607
0.86	13.5108
0.85	13.9611
0.84	14.3284
0.83	14.7074
0.82	14.9916
0.81	15.2997
0.8	15.5722
0.79	15.8207
0.78	16.117
0.77	16.2829
0.76	16.4842
0.75	16.7211
0.74	16.8989
0.73	17.0527
0.72	17.2305
0.71	17.349
0.7	17.5503
0.69	17.7162
0.68	17.799
0.67	17.9056
0.66	18.0597
0.65	18.2019
0.64	18.3203
0.63	18.4151
0.62	18.5335
0.61	18.6166
0.6	18.6876
0.59	18.7942
0.58	18.8651
0.57	18.9838
0.56	19.0548
0.55	19.1495
0.54	19.2207
0.53	19.3036
0.52	19.3508
0.51	19.4102
0.5	19.4811
0.49	19.5405
0.48	19.5879
0.47	19.6352
0.46	19.7064
0.45	19.7774
0.44	19.813
0.43	19.8602
0.42	19.9196
0.41	19.9552
0.4	19.9787
0.39	20.0262
0.38	20.0736
0.37	20.0971
0.36	20.1327
0.35	20.1446
0.34	20.1921
0.33	20.2393
0.32	20.2631
0.31	20.3105
0.3	20.3224
0.29	20.334
0.28	20.3578
0.27	20.3815
0.26	20.429
0.25	20.4409
0.24	20.4881
0.23	20.4762
0.22	20.4762
0.21	20.5237
0.2	20.5474
0.19	20.5237
0.18	20.5237
0.17	20.5593
0.16	20.6184
0.15	20.5709
0.14	20.6065
0.13	20.6065
0.12	20.6303
0.11	20.6303
0.1	20.6422
0.09	20.6303
0.08	20.6422
0.07	20.7013
0.06	20.654
0.05	20.6659
0.04	20.6778
0.03	20.7013
0.02	20.6659
0.01	20.6778
0	20.7013
-0.01	20.7131
-0.02	20.7013
-0.03	20.7013
-0.04	20.7013
-0.05	20.7369
-0.06	20.7487
-0.07	20.7606
-0.08	20.7962
-0.09	20.7606
-0.1	20.7725
-0.11	20.7487
-0.12	20.7725
-0.13	20.7725
-0.14	20.7843
-0.15	20.7725
-0.16	20.7962
-0.17	20.8316
-0.18	20.7725
-0.19	20.7843
-0.2	20.7962
