// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   4:00:40 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80862 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-61.9224
1.29	-73.3296
1.28	-79.6672
1.27	-83.3273
1.26	-84.9977
1.25	-85.3056
1.24	-84.6424
1.23	-83.2207
1.22	-81.2426
1.21	-78.8261
1.2	-76.1371
1.19	-73.1993
1.18	-70.0721
1.17	-66.7789
1.16	-63.4267
1.15	-59.9678
1.14	-56.4615
1.13	-52.9196
1.12	-49.4133
1.11	-45.8951
1.1	-42.3771
1.09	-38.9181
1.08	-35.5064
1.07	-32.166
1.06	-28.8494
1.05	-25.6272
1.04	-22.4881
1.03	-19.4794
1.02	-16.5534
1.01	-13.7462
1	-11.069
0.99	-8.5222
0.98	-6.10569
0.97	-3.8195
0.96	-1.69898
0.95	0.290952
0.94	2.12708
0.93	3.80914
0.92	5.31365
0.91	6.7232
0.9	7.99081
0.89	9.15159
0.88	10.1704
0.87	11.0943
0.86	11.9237
0.85	12.6225
0.84	13.3214
0.83	13.9374
0.82	14.4231
0.81	14.9087
0.8	15.3351
0.79	15.7616
0.78	16.0579
0.77	16.3776
0.76	16.662
0.75	16.9818
0.74	17.2305
0.73	17.3965
0.72	17.5978
0.71	17.8703
0.7	17.9887
0.69	18.1782
0.68	18.3441
0.67	18.4744
0.66	18.6282
0.65	18.7467
0.64	18.8651
0.63	18.9601
0.62	19.0785
0.61	19.1733
0.6	19.268
0.59	19.3864
0.58	19.4458
0.57	19.5523
0.56	19.6352
0.55	19.6827
0.54	19.7536
0.53	19.8365
0.52	19.8958
0.51	19.9196
0.5	20.0143
0.49	20.0618
0.48	20.0971
0.47	20.1446
0.46	20.2037
0.45	20.2156
0.44	20.2749
0.43	20.2868
0.42	20.334
0.41	20.3696
0.4	20.4171
0.39	20.4525
0.38	20.4643
0.37	20.4643
0.36	20.4999
0.35	20.5356
0.34	20.5593
0.33	20.6303
0.32	20.6184
0.31	20.6184
0.3	20.6422
0.29	20.654
0.28	20.725
0.27	20.7131
0.26	20.7131
0.25	20.7487
0.24	20.7725
0.23	20.7725
0.22	20.8197
0.21	20.7843
0.2	20.8081
0.19	20.8434
0.18	20.8434
0.17	20.8316
0.16	20.9028
0.15	20.8672
0.14	20.8553
0.13	20.9265
0.12	20.9147
0.11	20.9382
0.1	20.9382
0.09	20.9619
0.08	20.9265
0.07	20.9382
0.06	20.95
0.05	20.9265
0.04	20.95
0.03	20.9856
0.02	20.9856
0.01	20.9738
0	20.9975
-0.01	20.9856
-0.02	20.9738
-0.03	20.9619
-0.04	21.0094
-0.05	21.0094
-0.06	21.0331
-0.07	21.0331
-0.08	21.0094
-0.09	21.0212
-0.1	20.9975
-0.11	21.0094
-0.12	20.9975
-0.13	21.0094
-0.14	21.0331
-0.15	21.0566
-0.16	21.0094
-0.17	21.045
-0.18	21.0803
-0.19	21.0566
-0.2	21.1041
