// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   3:59:39 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80855 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-191.739
1.29	-196.749
1.28	-194.179
1.27	-189.488
1.26	-184.039
1.25	-178.4
1.24	-172.75
1.23	-167.159
1.22	-161.509
1.21	-155.977
1.2	-150.54
1.19	-145.173
1.18	-139.831
1.17	-134.56
1.16	-129.419
1.15	-124.349
1.14	-119.338
1.13	-114.47
1.12	-109.684
1.11	-104.993
1.1	-100.326
1.09	-95.9074
1.08	-91.5601
1.07	-87.2958
1.06	-83.1379
1.05	-79.1103
1.04	-75.2132
1.03	-71.4819
1.02	-67.7859
1.01	-64.2677
1	-60.8917
0.99	-57.646
0.98	-54.5069
0.97	-51.4982
0.96	-48.6435
0.95	-45.8835
0.94	-43.2063
0.93	-40.6713
0.92	-38.2783
0.91	-35.9211
0.9	-33.7059
0.89	-31.5263
0.88	-29.4889
0.87	-27.5343
0.86	-25.6272
0.85	-23.8148
0.84	-22.0737
0.83	-20.3679
0.82	-18.6977
0.81	-17.1341
0.8	-15.6295
0.79	-14.1369
0.78	-12.7155
0.77	-11.3532
0.76	-10.003
0.75	-8.67626
0.74	-7.40866
0.73	-6.21227
0.72	-5.05149
0.71	-3.93795
0.7	-2.83627
0.69	-1.74647
0.68	-0.727631
0.67	0.231852
0.66	1.20321
0.65	2.12708
0.64	2.97998
0.63	3.84475
0.62	4.6383
0.61	5.39649
0.6	6.15469
0.59	6.84165
0.58	7.50513
0.57	8.12113
0.56	8.76087
0.55	9.31752
0.54	9.81507
0.53	10.2889
0.52	10.7864
0.51	11.2484
0.5	11.6393
0.49	12.0184
0.48	12.35
0.47	12.6463
0.46	12.966
0.45	13.2385
0.44	13.5227
0.43	13.7715
0.42	14.0202
0.41	14.198
0.4	14.3993
0.39	14.5534
0.38	14.7309
0.37	14.8969
0.36	15.0747
0.35	15.1931
0.34	15.3469
0.33	15.4654
0.32	15.5603
0.31	15.6788
0.3	15.7735
0.29	15.8801
0.28	15.9867
0.27	16.0695
0.26	16.1407
0.25	16.2236
0.24	16.3183
0.23	16.3895
0.22	16.4486
0.21	16.508
0.2	16.5552
0.19	16.6145
0.18	16.6855
0.17	16.7686
0.16	16.7686
0.15	16.804
0.14	16.8633
0.13	16.8871
0.12	16.8871
0.11	16.958
0.1	16.9462
0.09	16.9936
0.08	16.9936
0.07	17.0293
0.06	17.0646
0.05	17.0646
0.04	17.1002
0.03	17.1002
0.02	17.1358
0.01	17.1358
0	17.1358
-0.01	17.1593
-0.02	17.1949
-0.03	17.1712
-0.04	17.2187
-0.05	17.2068
-0.06	17.2305
-0.07	17.2424
-0.08	17.2543
-0.09	17.2662
-0.1	17.2896
-0.11	17.3371
-0.12	17.349
-0.13	17.3846
-0.14	17.42
-0.15	17.3965
-0.16	17.4318
-0.17	17.4437
-0.18	17.4674
-0.19	17.5503
-0.2	17.6096
