// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   3:58:57 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80857 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-58.4866
1.29	-68.6264
1.28	-74.6674
1.27	-78.4819
1.26	-80.6731
1.25	-81.7511
1.24	-81.9763
1.23	-81.4432
1.22	-80.2587
1.21	-78.6476
1.2	-76.6695
1.19	-74.4189
1.18	-71.884
1.17	-69.1356
1.16	-66.269
1.15	-63.2484
1.14	-60.1211
1.13	-56.9467
1.12	-53.7601
1.11	-50.5263
1.1	-47.2688
1.09	-44.0231
1.08	-40.7774
1.07	-37.5555
1.06	-34.3454
1.05	-31.2301
1.04	-28.1738
1.03	-25.1297
1.02	-22.1681
1.01	-19.3372
1	-16.5534
0.99	-13.8644
0.98	-11.3059
0.97	-8.86569
0.96	-6.54388
0.95	-4.31704
0.94	-2.23214
0.93	-0.325047
0.92	1.45173
0.91	3.13379
0.9	4.67391
0.89	6.09533
0.88	7.3983
0.87	8.5712
0.86	9.58978
0.85	10.5967
0.84	11.414
0.83	12.2078
0.82	12.9185
0.81	13.5227
0.8	14.1031
0.79	14.6125
0.78	15.0507
0.77	15.4773
0.76	15.868
0.75	16.2115
0.74	16.4958
0.73	16.7802
0.72	17.0409
0.71	17.2659
0.7	17.5028
0.69	17.6685
0.68	17.8938
0.67	18.0595
0.66	18.1898
0.65	18.332
0.64	18.4504
0.63	18.6164
0.62	18.6992
0.61	18.8176
0.6	18.9361
0.59	19.0427
0.58	19.1374
0.57	19.2086
0.56	19.3033
0.55	19.3862
0.54	19.4574
0.53	19.5284
0.52	19.5993
0.51	19.6468
0.5	19.7415
0.49	19.789
0.48	19.86
0.47	19.9312
0.46	19.9312
0.45	20.0615
0.44	20.0496
0.43	20.085
0.42	20.1206
0.41	20.1918
0.4	20.2272
0.39	20.2037
0.38	20.2628
0.37	20.2865
0.36	20.3338
0.35	20.3338
0.34	20.3813
0.33	20.3931
0.32	20.4641
0.31	20.4641
0.3	20.4997
0.29	20.5116
0.28	20.5707
0.27	20.5944
0.26	20.6419
0.25	20.6063
0.24	20.6538
0.23	20.6419
0.22	20.7129
0.21	20.6775
0.2	20.7247
0.19	20.7129
0.18	20.7366
0.17	20.7247
0.16	20.7366
0.15	20.7722
0.14	20.7841
0.13	20.8432
0.12	20.8194
0.11	20.7841
0.1	20.796
0.09	20.8551
0.08	20.8551
0.07	20.8669
0.06	20.8432
0.05	20.8907
0.04	20.8551
0.03	20.8788
0.02	20.8788
0.01	20.9263
0	20.9144
-0.01	20.9263
-0.02	20.9379
-0.03	20.9498
-0.04	20.9379
-0.05	20.9616
-0.06	20.9144
-0.07	20.9616
-0.08	20.9973
-0.09	20.9616
-0.1	20.9854
-0.11	21.0329
-0.12	20.9735
-0.13	21.0329
-0.14	20.9735
-0.15	21.0091
-0.16	21.021
-0.17	21.0447
-0.18	21.0682
-0.19	21.0564
-0.2	21.0564
