// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   3:59:43 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80863 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-140.247
1.29	-140.531
1.28	-135.781
1.27	-130.131
1.26	-124.492
1.25	-118.866
1.24	-113.393
1.23	-108.027
1.22	-102.838
1.21	-97.7208
1.2	-92.7693
1.19	-87.9126
1.18	-83.1624
1.17	-78.5188
1.16	-73.9936
1.15	-69.5872
1.14	-65.3464
1.13	-61.1056
1.12	-56.9833
1.11	-52.9794
1.1	-49.1059
1.09	-45.2914
1.08	-41.6429
1.07	-38.0891
1.06	-34.7131
1.05	-31.3965
1.04	-28.2218
1.03	-25.2012
1.02	-22.2989
1.01	-19.5624
1	-16.9209
0.99	-14.4688
0.98	-12.1588
0.97	-9.9911
0.96	-7.97743
0.95	-6.15317
0.94	-4.43549
0.93	-2.87188
0.92	-1.40298
0.91	-0.0406625
0.9	1.14385
0.89	2.24553
0.88	3.28811
0.87	4.21198
0.86	5.04114
0.85	5.82307
0.84	6.49817
0.83	7.16165
0.82	7.75391
0.81	8.26333
0.8	8.80835
0.79	9.29403
0.78	9.76784
0.77	10.1469
0.76	10.5142
0.75	10.8814
0.74	11.2486
0.73	11.5327
0.72	11.8527
0.71	12.1134
0.7	12.3856
0.69	12.6225
0.68	12.8594
0.67	13.1082
0.66	13.3335
0.65	13.4873
0.64	13.6889
0.63	13.8783
0.62	14.068
0.61	14.2218
0.6	14.364
0.59	14.5062
0.58	14.6365
0.57	14.7549
0.56	14.8971
0.55	15.0156
0.54	15.1103
0.53	15.2406
0.52	15.3353
0.51	15.4538
0.5	15.5012
0.49	15.6316
0.48	15.7025
0.47	15.7972
0.46	15.821
0.45	15.9276
0.44	15.9869
0.43	16.0107
0.42	16.0579
0.41	16.1054
0.4	16.1526
0.39	16.212
0.38	16.2713
0.37	16.3185
0.36	16.3423
0.35	16.366
0.34	16.3898
0.33	16.437
0.32	16.4607
0.31	16.4963
0.3	16.5436
0.29	16.5436
0.28	16.5792
0.27	16.5911
0.26	16.6148
0.25	16.6502
0.24	16.6739
0.23	16.662
0.22	16.6976
0.21	16.6739
0.2	16.7214
0.19	16.7332
0.18	16.7451
0.17	16.757
0.16	16.7805
0.15	16.7805
0.14	16.7923
0.13	16.8042
0.12	16.7923
0.11	16.8042
0.1	16.8398
0.09	16.828
0.08	16.8398
0.07	16.8517
0.06	16.8161
0.05	16.8636
0.04	16.8161
0.03	16.8398
0.02	16.828
0.01	16.8517
0	16.8871
-0.01	16.8517
-0.02	16.8636
-0.03	16.8871
-0.04	16.8398
-0.05	16.8517
-0.06	16.8636
-0.07	16.8636
-0.08	16.8871
-0.09	16.9108
-0.1	16.8636
-0.11	16.8754
-0.12	16.8989
-0.13	16.9108
-0.14	16.9108
-0.15	16.9108
-0.16	16.9227
-0.17	16.9108
-0.18	16.9464
-0.19	16.9464
-0.2	16.9227
