// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   3:59:05 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80844 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-158.49
1.29	-161.617
1.28	-161.925
1.27	-160.61
1.26	-158.454
1.25	-155.587
1.24	-152.33
1.23	-148.74
1.22	-145.104
1.21	-141.242
1.2	-137.368
1.19	-133.447
1.18	-129.455
1.17	-125.428
1.16	-121.46
1.15	-117.598
1.14	-113.653
1.13	-109.815
1.12	-105.989
1.11	-102.246
1.1	-98.5262
1.09	-94.8424
1.08	-91.2648
1.07	-87.806
1.06	-84.3113
1.05	-80.9828
1.04	-77.7015
1.03	-74.4911
1.02	-71.3758
1.01	-68.3196
1	-65.3817
0.99	-62.527
0.98	-59.6958
0.97	-56.9833
0.96	-54.4127
0.95	-51.8422
0.94	-49.3663
0.93	-47.0091
0.92	-44.7111
0.91	-42.4484
0.9	-40.2806
0.89	-38.1841
0.88	-36.1583
0.87	-34.1684
0.86	-32.2257
0.85	-30.3895
0.84	-28.5771
0.83	-26.8239
0.82	-25.0827
0.81	-23.4004
0.8	-21.8368
0.79	-20.2259
0.78	-18.7333
0.77	-17.2288
0.76	-15.7483
0.75	-14.3503
0.74	-12.988
0.73	-11.6259
0.72	-10.3583
0.71	-9.09072
0.7	-7.83523
0.69	-6.68607
0.68	-5.50156
0.67	-4.37614
0.66	-3.32195
0.65	-2.24401
0.64	-1.22518
0.63	-0.253825
0.62	0.693788
0.61	1.55856
0.6	2.45869
0.59	3.28811
0.58	4.1054
0.57	4.91082
0.56	5.60991
0.55	6.30875
0.54	6.98385
0.53	7.63546
0.52	8.2752
0.51	8.79648
0.5	9.38874
0.49	9.87442
0.48	10.3838
0.47	10.822
0.46	11.284
0.45	11.6868
0.44	12.054
0.43	12.4094
0.42	12.7647
0.41	13.1082
0.4	13.3807
0.39	13.7007
0.38	13.9849
0.37	14.2693
0.36	14.4943
0.35	14.7431
0.34	14.9681
0.33	15.205
0.32	15.3947
0.31	15.6434
0.3	15.8091
0.29	16.0107
0.28	16.1645
0.27	16.3898
0.26	16.5436
0.25	16.6739
0.24	16.8636
0.23	17.0174
0.22	17.1358
0.21	17.2308
0.2	17.3374
0.19	17.4558
0.18	17.5862
0.17	17.669
0.16	17.7993
0.15	17.894
0.14	17.9652
0.13	18.0481
0.12	18.1191
0.11	18.1784
0.1	18.2494
0.09	18.3325
0.08	18.3559
0.07	18.4153
0.06	18.4744
0.05	18.5219
0.04	18.6047
0.03	18.6166
0.02	18.6522
0.01	18.6997
0	18.7351
-0.01	18.7825
-0.02	18.8182
-0.03	18.8416
-0.04	18.8772
-0.05	18.9247
-0.06	18.9366
-0.07	19.0194
-0.08	19.0194
-0.09	19.0432
-0.1	19.1379
-0.11	19.1379
-0.12	19.1616
-0.13	19.2207
-0.14	19.2682
-0.15	19.3276
-0.16	19.4104
-0.17	19.4223
-0.18	19.4576
-0.19	19.5761
-0.2	19.5998
