// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   3:59:14 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80867 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-136.657
1.29	-140.269
1.28	-137.048
1.27	-132.274
1.26	-127.038
1.25	-121.743
1.24	-116.436
1.23	-111.224
1.22	-106.071
1.21	-101.037
1.2	-96.0971
1.19	-91.2522
1.18	-86.4783
1.17	-81.7993
1.16	-77.2269
1.15	-72.6901
1.14	-68.3191
1.13	-63.9954
1.12	-59.8138
1.11	-55.668
1.1	-51.676
1.09	-47.7193
1.08	-43.988
1.07	-40.3278
1.06	-36.7859
1.05	-33.3862
1.04	-30.0458
1.03	-26.8829
1.02	-23.8623
1.01	-20.9839
1	-18.2239
0.99	-15.6533
0.98	-13.2486
0.97	-11.0097
0.96	-8.86569
0.95	-6.89924
0.94	-5.08685
0.93	-3.39292
0.92	-1.85305
0.91	-0.419758
0.9	0.83598
0.89	2.04424
0.88	3.07469
0.87	4.04604
0.86	4.94643
0.85	5.76372
0.84	6.47443
0.83	7.20888
0.82	7.78927
0.81	8.36991
0.8	8.87907
0.79	9.40036
0.78	9.85043
0.77	10.2533
0.76	10.6561
0.75	11.0589
0.74	11.3549
0.73	11.6747
0.72	11.9591
0.71	12.2553
0.7	12.516
0.69	12.7764
0.68	13.0607
0.67	13.2148
0.66	13.428
0.65	13.6293
0.64	13.8071
0.63	14.0202
0.62	14.1505
0.61	14.3165
0.6	14.4703
0.59	14.6125
0.58	14.7428
0.57	14.8494
0.56	15.0153
0.55	15.11
0.54	15.2047
0.53	15.3116
0.52	15.3825
0.51	15.4891
0.5	15.6194
0.49	15.6551
0.48	15.726
0.47	15.8089
0.46	15.8801
0.45	15.9276
0.44	15.9748
0.43	16.0695
0.42	16.1526
0.41	16.188
0.4	16.2592
0.39	16.2473
0.38	16.2948
0.37	16.342
0.36	16.3895
0.35	16.4014
0.34	16.4486
0.33	16.4961
0.32	16.5433
0.31	16.5317
0.3	16.5552
0.29	16.5671
0.28	16.6027
0.27	16.6145
0.26	16.6383
0.25	16.6502
0.24	16.6618
0.23	16.7093
0.22	16.7211
0.21	16.7093
0.2	16.7211
0.19	16.733
0.18	16.7805
0.17	16.7567
0.16	16.804
0.15	16.7686
0.14	16.7805
0.13	16.7805
0.12	16.8277
0.11	16.7921
0.1	16.8277
0.09	16.8277
0.08	16.804
0.07	16.8396
0.06	16.8158
0.05	16.8633
0.04	16.8158
0.03	16.8633
0.02	16.8514
0.01	16.8633
0	16.8871
-0.01	16.8396
-0.02	16.8277
-0.03	16.8514
-0.04	16.8871
-0.05	16.8871
-0.06	16.8277
-0.07	16.8989
-0.08	16.8989
-0.09	16.8633
-0.1	16.8989
-0.11	16.9105
-0.12	16.8989
-0.13	16.8989
-0.14	16.9105
-0.15	16.8871
-0.16	16.8871
-0.17	16.8871
-0.18	16.8752
-0.19	16.9343
-0.2	16.9105
