// ************** HEADER START ***************

Date/Time: Fri, Oct 27, 2017   3:59:01 PM
Comments: IJ device run, printed 20171026, top contact 20171027, R
Start V: -0.2
End V: 1.3
Step Size: 0.01 V
Number Points: 151
Scan Rate: -0.80868 V/s
Pixel Size: 0.059 cm^2
Inverse Bias: On
Source Delay: 0.01
NPLC: 0.01
Shutter was Used
Shutter Light Delay: 0.25
Shutter Dark Delay: 1
Intensity: 0.994
Misc On Switches: 
// ************** HEADER END ***************

Voltage	Current
1.3	-80.4009
1.29	-92.2937
1.28	-96.7949
1.27	-97.8375
1.26	-96.8543
1.25	-94.7812
1.24	-91.8909
1.23	-88.5861
1.22	-85.0205
1.21	-81.23
1.2	-77.2499
1.19	-73.3054
1.18	-69.254
1.17	-65.1673
1.16	-61.1518
1.15	-57.148
1.14	-53.1206
1.13	-49.1996
1.12	-45.3617
1.11	-41.5475
1.1	-37.8636
1.09	-34.2742
1.08	-30.7444
1.07	-27.404
1.06	-24.1346
1.05	-20.9717
1.04	-17.963
1.03	-15.132
1.02	-12.3957
1.01	-9.82517
1	-7.39679
0.99	-5.12246
0.98	-3.07317
0.97	-1.10673
0.96	0.681918
0.95	2.3165
0.94	3.79727
0.93	5.11211
0.92	6.3085
0.91	7.44578
0.9	8.42901
0.89	9.35288
0.88	10.1111
0.87	10.8809
0.86	11.485
0.85	12.0775
0.84	12.6104
0.83	13.108
0.82	13.5108
0.81	13.9609
0.8	14.3044
0.79	14.636
0.78	14.9441
0.77	15.2401
0.76	15.4889
0.75	15.7495
0.74	15.9511
0.73	16.188
0.72	16.3893
0.71	16.5787
0.7	16.7565
0.69	16.9459
0.68	17.0881
0.67	17.2422
0.66	17.4197
0.65	17.5384
0.64	17.6685
0.63	17.8107
0.62	17.941
0.61	18.0595
0.6	18.1898
0.59	18.261
0.58	18.3676
0.57	18.4267
0.56	18.557
0.55	18.6754
0.54	18.7583
0.53	18.8058
0.52	18.8651
0.51	18.9598
0.5	19.0783
0.49	19.0902
0.48	19.173
0.47	19.2205
0.46	19.2914
0.45	19.3862
0.44	19.4455
0.43	19.5046
0.42	19.564
0.41	19.5758
0.4	19.6468
0.39	19.6943
0.38	19.7415
0.37	19.7653
0.36	19.789
0.35	19.8481
0.34	19.8837
0.33	19.9549
0.32	19.9784
0.31	20.014
0.3	20.0615
0.29	20.0734
0.28	20.0734
0.27	20.0969
0.26	20.1325
0.25	20.1681
0.24	20.2037
0.23	20.2037
0.22	20.2037
0.21	20.2391
0.2	20.2509
0.19	20.2984
0.18	20.3103
0.17	20.3103
0.16	20.3338
0.15	20.3575
0.14	20.3694
0.13	20.3694
0.12	20.3931
0.11	20.4406
0.1	20.4406
0.09	20.4406
0.08	20.4169
0.07	20.4406
0.06	20.4522
0.05	20.4522
0.04	20.476
0.03	20.4878
0.02	20.5116
0.01	20.5353
0	20.5353
-0.01	20.5116
-0.02	20.5707
-0.03	20.4997
-0.04	20.5353
-0.05	20.5707
-0.06	20.6063
-0.07	20.5472
-0.08	20.5944
-0.09	20.5944
-0.1	20.559
-0.11	20.5825
-0.12	20.5825
-0.13	20.6063
-0.14	20.63
-0.15	20.6063
-0.16	20.63
-0.17	20.6063
-0.18	20.63
-0.19	20.6538
-0.2	20.6891
